"matchDay","nameHomeClub","nameHomeClubShort","nameAwayClub","nameAwayClubShort","date","shortDate","status","goalsHomeClub","goalsAwayClub"
"18","FC Schalke 04","S04","Eintracht Frankfurt","SGE","Sa, 28. Januar 2017 - 15:30","Sa 15:30","SCHEDULED","-","-"
"18","SV Werder Bremen","BRE","FC Bayern München","FCB","Sa, 28. Januar 2017 - 15:30","Sa 15:30","SCHEDULED","-","-"
"19","FC Augsburg","FCA","SV Werder Bremen","BRE","Sa, 04. Februar 2017 - 15:30","Sa 15:30","SCHEDULED","-","-"
"19","FC Bayern München","FCB","FC Schalke 04","S04","Sa, 04. Februar 2017 - 15:30","Sa 15:30","SCHEDULED","-","-"
"19","Borussia Dortmund","BVB","Red Bull Leipzig","RBL","Sa, 04. Februar 2017 - 15:30","Sa 15:30","SCHEDULED","-","-"
"19","Borussia Mönchengladbach","BMG","SC Freiburg","SCF","Sa, 04. Februar 2017 - 15:30","Sa 15:30","SCHEDULED","-","-"
"19","Eintracht Frankfurt","SGE","SV Darmstadt 98","DAR","Sa, 04. Februar 2017 - 15:30","Sa 15:30","SCHEDULED","-","-"
"19","Hamburger SV","HSV","Bayer 04 Leverkusen","LEV","Sa, 04. Februar 2017 - 15:30","Sa 15:30","SCHEDULED","-","-"
"19","Hertha BSC","BSC","FC Ingolstadt 04","FCI","Sa, 04. Februar 2017 - 15:30","Sa 15:30","SCHEDULED","-","-"
"19","TSG 1899 Hoffenheim","HOF","1. FSV Mainz 05","M05","Sa, 04. Februar 2017 - 15:30","Sa 15:30","SCHEDULED","-","-"
"19","1. FC Köln","KOE","VfL Wolfsburg","WOB","Sa, 04. Februar 2017 - 15:30","Sa 15:30","SCHEDULED","-","-"
"20","Bayer 04 Leverkusen","LEV","Eintracht Frankfurt","SGE","Sa, 11. Februar 2017 - 15:30","Sa 15:30","SCHEDULED","-","-"
"20","SV Darmstadt 98","DAR","Borussia Dortmund","BVB","Sa, 11. Februar 2017 - 15:30","Sa 15:30","SCHEDULED","-","-"
"20","SC Freiburg","SCF","1. FC Köln","KOE","Sa, 11. Februar 2017 - 15:30","Sa 15:30","SCHEDULED","-","-"
"20","FC Ingolstadt 04","FCI","FC Bayern München","FCB","Sa, 11. Februar 2017 - 15:30","Sa 15:30","SCHEDULED","-","-"
"20","1. FSV Mainz 05","M05","FC Augsburg","FCA","Sa, 11. Februar 2017 - 15:30","Sa 15:30","SCHEDULED","-","-"
"20","Red Bull Leipzig","RBL","Hamburger SV","HSV","Sa, 11. Februar 2017 - 15:30","Sa 15:30","SCHEDULED","-","-"
"20","FC Schalke 04","S04","Hertha BSC","BSC","Sa, 11. Februar 2017 - 15:30","Sa 15:30","SCHEDULED","-","-"
"20","SV Werder Bremen","BRE","Borussia Mönchengladbach","BMG","Sa, 11. Februar 2017 - 15:30","Sa 15:30","SCHEDULED","-","-"
"20","VfL Wolfsburg","WOB","TSG 1899 Hoffenheim","HOF","Sa, 11. Februar 2017 - 15:30","Sa 15:30","SCHEDULED","-","-"
"21","FC Augsburg","FCA","Bayer 04 Leverkusen","LEV","Sa, 18. Februar 2017 - 15:30","Sa 15:30","SCHEDULED","-","-"
"21","Borussia Dortmund","BVB","VfL Wolfsburg","WOB","Sa, 18. Februar 2017 - 15:30","Sa 15:30","SCHEDULED","-","-"
"21","Borussia Mönchengladbach","BMG","Red Bull Leipzig","RBL","Sa, 18. Februar 2017 - 15:30","Sa 15:30","SCHEDULED","-","-"
"21","Eintracht Frankfurt","SGE","FC Ingolstadt 04","FCI","Sa, 18. Februar 2017 - 15:30","Sa 15:30","SCHEDULED","-","-"
"21","Hamburger SV","HSV","SC Freiburg","SCF","Sa, 18. Februar 2017 - 15:30","Sa 15:30","SCHEDULED","-","-"
